index,station,date,tavg,preciptotal,sealevel,resultspeed,resultdir,rel_hum,latitude,longitude
77,2,2007-06-08,72.0,0.0,29.83,9.3,26,53.68633761294547,41.786,-87.752
78,1,2007-06-09,66.0,0.0,30.07,0.3,33,51.00551676276113,41.995,-87.933
79,2,2007-06-09,68.0,0.0,30.05,2.4,19,51.27085920920308,41.786,-87.752
80,1,2007-06-10,68.0,0.0,30.05,4.8,17,55.13497666740522,41.995,-87.933
81,2,2007-06-10,71.0,0.0,30.04,4.6,16,48.05837586151106,41.786,-87.752
82,1,2007-06-11,72.0,0.0,30.11,4.9,11,49.96609622414025,41.995,-87.933
83,2,2007-06-11,75.0,0.0,30.09,6.6,9,43.624982345489855,41.786,-87.752
84,1,2007-06-12,73.0,0.0,30.16,8.3,5,44.95417494678299,41.995,-87.933
85,2,2007-06-12,74.0,0.0,30.14,9.4,5,45.09198486466252,41.786,-87.752
86,1,2007-06-13,74.0,0.0,30.09,7.2,5,48.46293792313306,41.995,-87.933
88,1,2007-06-14,77.0,0.0,30.02,5.6,5,47.15688473926377,41.995,-87.933
89,2,2007-06-14,79.0,0.0,30.0,5.9,7,42.62715763858582,41.786,-87.752
90,1,2007-06-15,77.0,0.0,29.99,4.1,6,48.86391494739009,41.995,-87.933
91,2,2007-06-15,78.0,0.0,29.97,3.8,9,47.29161714399816,41.786,-87.752
92,1,2007-06-16,80.0,0.001,29.97,4.8,28,51.0166762175716,41.995,-87.933
93,2,2007-06-16,80.0,0.001,29.96,2.1,22,52.82747494985291,41.786,-87.752
94,1,2007-06-17,81.0,0.0,29.95,2.8,11,56.7425773510451,41.995,-87.933
95,2,2007-06-17,81.0,0.16,29.93,4.0,11,58.72546239309743,41.786,-87.752
96,1,2007-06-18,79.0,0.28,29.84,14.0,20,62.657363417018395,41.995,-87.933
97,2,2007-06-18,81.0,0.02,29.83,12.2,20,58.72546239309743,41.786,-87.752
98,1,2007-06-19,73.0,0.58,29.95,10.7,28,53.813941421859425,41.995,-87.933
99,2,2007-06-19,73.0,0.93,29.93,10.1,29,53.813941421859425,41.786,-87.752
100,1,2007-06-20,73.0,0.0,30.1,7.8,27,48.32848293149577,41.995,-87.933
101,2,2007-06-20,74.0,0.0,30.09,5.9,28,43.48625524317316,41.786,-87.752
102,1,2007-06-21,69.0,0.01,30.08,3.5,3,53.30094406810458,41.995,-87.933
103,2,2007-06-21,73.0,0.001,30.06,3.7,2,46.614107491399984,41.786,-87.752
104,1,2007-06-22,69.0,0.001,30.06,7.8,6,51.402892673818414,41.995,-87.933
105,2,2007-06-22,69.0,0.001,30.05,6.5,7,49.56536420643794,41.786,-87.752
106,1,2007-06-23,65.0,0.05,29.96,7.6,12,78.40937723499778,41.995,-87.933
107,2,2007-06-23,65.0,0.34,29.95,7.3,11,84.10831968058932,41.786,-87.752
108,1,2007-06-24,70.0,0.0,29.97,7.0,9,76.09116623017819,41.995,-87.933
109,2,2007-06-24,70.0,0.0,29.96,5.6,10,76.09116623017819,41.786,-87.752
110,1,2007-06-25,77.0,0.0,30.07,3.9,14,69.21308355753092,41.995,-87.933
111,2,2007-06-25,77.0,0.0,30.06,4.0,12,71.61308726991157,41.786,-87.752
112,1,2007-06-26,81.0,0.16,30.11,6.1,22,67.28707585438498,41.995,-87.933
113,2,2007-06-26,82.0,0.001,30.09,7.3,21,65.15335154213986,41.786,-87.752
114,1,2007-06-27,81.0,0.15,30.02,7.5,24,69.59346687246564,41.995,-87.933
115,2,2007-06-27,80.0,0.35,30.0,7.9,24,69.49897733013532,41.786,-87.752
116,1,2007-06-28,66.0,0.0,30.09,11.9,3,68.13290539218104,41.995,-87.933
118,1,2007-06-29,63.0,0.0,30.13,7.6,2,75.52824522760316,41.995,-87.933
120,1,2007-06-30,67.0,0.0,30.13,4.9,3,47.51335979870296,41.995,-87.933
121,2,2007-06-30,68.0,0.0,30.11,5.1,4,51.27085920920308,41.786,-87.752
122,1,2007-07-01,65.0,0.0,30.23,8.6,4,63.317812252017575,41.995,-87.933
123,2,2007-07-01,69.0,0.0,30.21,9.5,4,53.30094406810458,41.786,-87.752
124,1,2007-07-02,66.0,0.0,30.22,5.9,14,56.91570748595227,41.995,-87.933
125,2,2007-07-02,68.0,0.0,30.21,7.4,12,53.17161520791982,41.786,-87.752
126,1,2007-07-03,72.0,0.4,30.06,6.7,21,59.73014707574833,41.995,-87.933
127,2,2007-07-03,73.0,0.09,30.05,6.4,21,55.761950161906,41.786,-87.752
128,1,2007-07-04,77.0,0.16,29.9,4.6,27,66.88482071159525,41.995,-87.933
129,2,2007-07-04,76.0,0.66,29.88,3.1,25,69.11697058848515,41.786,-87.752
130,1,2007-07-05,80.0,0.0,29.94,6.4,31,51.0166762175716,41.995,-87.933
131,2,2007-07-05,79.0,0.0,29.92,4.3,33,52.700055526214456,41.786,-87.752
132,1,2007-07-06,76.0,0.0,30.03,3.2,5,52.315304753860985,41.995,-87.933
133,2,2007-07-06,76.0,0.0,30.01,3.3,7,52.315304753860985,41.786,-87.752
134,1,2007-07-07,77.0,0.0,29.91,8.4,22,62.43609208337523,41.995,-87.933
135,2,2007-07-07,78.0,0.0,29.9,7.4,23,58.371350334198105,41.786,-87.752
136,1,2007-07-08,85.0,0.0,29.77,12.9,24,55.312084927813395,41.995,-87.933
137,2,2007-07-08,84.0,0.0,29.76,12.6,23,57.10327821567678,41.786,-87.752
138,1,2007-07-09,82.0,0.3,29.8,4.9,24,58.84264440509296,41.995,-87.933
139,2,2007-07-09,83.0,0.24,29.79,4.8,23,58.95940119838952,41.786,-87.752
140,1,2007-07-10,79.0,0.43,29.77,8.6,23,67.08677973188638,41.995,-87.933
141,2,2007-07-10,80.0,0.08,29.76,8.2,23,64.9438503600575,41.786,-87.752
142,1,2007-07-11,70.0,0.0,29.93,8.8,30,51.53450212781184,41.995,-87.933
143,2,2007-07-11,70.0,0.0,29.92,9.1,30,51.53450212781184,41.786,-87.752
144,1,2007-07-12,71.0,0.0,29.93,9.4,29,49.83293099967997,41.995,-87.933
145,2,2007-07-12,70.0,0.0,29.92,10.0,28,51.53450212781184,41.786,-87.752
146,1,2007-07-13,68.0,0.0,29.98,1.4,1,57.16273296213408,41.995,-87.933
147,2,2007-07-13,67.0,0.0,29.98,2.0,7,61.30355611680007,41.786,-87.752
148,1,2007-07-14,73.0,0.0,29.79,8.3,26,53.813941421859425,41.995,-87.933
149,2,2007-07-14,74.0,0.0,29.79,8.4,25,52.056717648192866,41.786,-87.752
150,1,2007-07-15,71.0,0.0,29.89,2.1,29,53.558304182300006,41.995,-87.933
151,2,2007-07-15,72.0,0.0,29.88,1.2,9,49.96609622414025,41.786,-87.752
152,1,2007-07-16,74.0,0.39,29.96,4.4,24,62.10094339066847,41.995,-87.933
153,2,2007-07-16,74.0,0.07,29.94,5.6,23,62.10094339066847,41.786,-87.752
154,1,2007-07-17,76.0,0.11,29.9,5.2,23,71.52293464628968,41.995,-87.933
155,2,2007-07-17,76.0,0.11,29.89,6.3,23,69.11697058848515,41.786,-87.752
156,1,2007-07-18,77.0,1.55,29.84,9.1,24,74.08673974933997,41.995,-87.933
157,2,2007-07-18,77.0,0.92,29.83,10.3,24,76.63599095401987,41.786,-87.752
158,1,2007-07-19,73.0,0.16,29.9,7.0,1,71.25008830761521,41.995,-87.933
159,2,2007-07-19,73.0,0.01,29.88,7.7,36,68.82615830851945,41.786,-87.752
160,1,2007-07-20,67.0,0.0,30.14,8.6,3,61.30355611680007,41.995,-87.933
161,2,2007-07-20,68.0,0.0,30.12,11.3,4,57.16273296213408,41.786,-87.752
162,1,2007-07-21,66.0,0.0,30.22,6.5,3,61.18786077211038,41.995,-87.933
163,2,2007-07-21,67.0,0.0,30.21,5.8,4,59.13724267136841,41.786,-87.752
164,1,2007-07-22,70.0,0.0,30.21,1.7,16,59.494321096299196,41.995,-87.933
165,2,2007-07-22,71.0,0.0,30.2,1.9,18,55.51247351687342,41.786,-87.752
166,1,2007-07-23,72.0,0.0,30.1,3.2,9,55.63742977606547,41.995,-87.933
167,2,2007-07-23,73.0,0.0,30.09,2.9,12,53.813941421859425,41.786,-87.752
168,1,2007-07-24,74.0,0.0,30.04,3.1,20,57.89315867276696,41.995,-87.933
169,2,2007-07-24,74.0,0.001,30.03,1.1,21,55.88603596395586,41.786,-87.752
170,1,2007-07-25,78.0,0.001,30.0,5.8,25,56.378059261735565,41.995,-87.933
171,2,2007-07-25,77.0,0.0,29.99,6.4,23,56.25569882189755,41.786,-87.752
172,1,2007-07-26,75.0,0.19,29.92,7.2,22,71.43238532288085,41.995,-87.933
173,2,2007-07-26,74.0,0.89,29.91,7.2,22,73.83448346905953,41.786,-87.752
174,1,2007-07-27,77.0,0.17,29.82,3.0,3,74.08673974933997,41.995,-87.933
175,2,2007-07-27,77.0,0.04,29.8,1.2,36,71.61308726991157,41.786,-87.752
176,1,2007-07-28,73.0,0.0,29.93,10.0,3,76.32683633973129,41.995,-87.933
177,2,2007-07-28,75.0,0.0,29.91,10.6,3,71.43238532288085,41.786,-87.752
178,1,2007-07-29,74.0,0.0,29.99,4.8,5,55.88603596395586,41.995,-87.933
179,2,2007-07-29,76.0,0.0,29.97,6.3,5,50.494652393850295,41.786,-87.752
180,1,2007-07-30,76.0,0.0,30.03,3.8,6,48.73065339626803,41.995,-87.933
181,2,2007-07-30,76.0,0.0,30.01,3.1,6,52.315304753860985,41.786,-87.752
182,1,2007-07-31,80.0,0.0,30.04,3.3,4,52.82747494985291,41.995,-87.933
183,2,2007-07-31,79.0,0.0,30.02,4.0,7,52.700055526214456,41.786,-87.752
184,1,2007-08-01,81.0,0.0,30.0,3.5,9,52.95448056327182,41.995,-87.933
185,2,2007-08-01,80.0,0.0,29.98,2.1,13,56.62149721386391,41.786,-87.752
186,1,2007-08-02,81.0,0.0,29.97,5.5,26,60.76969770307619,41.995,-87.933
187,2,2007-08-02,82.0,0.0,29.95,6.5,23,58.84264440509296,41.786,-87.752
188,1,2007-08-03,80.0,0.0,30.02,2.7,3,44.313279895184685,41.995,-87.933
189,2,2007-08-03,81.0,0.0,30.0,3.3,6,46.046269340800514,41.786,-87.752
190,1,2007-08-04,73.0,0.03,30.03,5.7,8,59.84739703715926,41.995,-87.933
191,2,2007-08-04,75.0,0.02,30.01,5.9,9,56.00968847577483,41.786,-87.752
192,1,2007-08-05,78.0,1.43,29.81,5.4,21,79.33177158990812,41.995,-87.933
193,2,2007-08-05,78.0,0.97,29.79,7.0,22,79.33177158990812,41.786,-87.752
194,1,2007-08-06,81.0,0.26,29.83,1.6,10,74.41781694409413,41.995,-87.933
195,2,2007-08-06,80.0,0.05,29.81,2.6,10,76.86412445605943,41.786,-87.752
196,1,2007-08-07,82.0,1.31,29.76,6.2,25,74.49965972292507,41.995,-87.933
197,2,2007-08-07,83.0,0.06,29.74,6.3,24,72.14578660310984,41.786,-87.752
198,1,2007-08-08,80.0,0.06,29.83,3.0,3,74.33560557551391,41.995,-87.933
199,2,2007-08-08,81.0,0.09,29.81,1.5,4,74.41781694409413,41.786,-87.752
200,1,2007-08-09,78.0,0.05,29.84,2.5,29,79.33177158990812,41.995,-87.933
201,2,2007-08-09,79.0,0.46,29.82,3.1,27,76.78843138854006,41.786,-87.752
202,1,2007-08-10,78.0,0.0,29.96,4.5,2,71.70284524776812,41.995,-87.933
203,2,2007-08-10,80.0,0.0,29.94,3.0,6,69.49897733013532,41.786,-87.752
204,1,2007-08-11,78.0,0.0,30.02,3.2,19,64.73266289128287,41.995,-87.933
205,2,2007-08-11,78.0,0.0,30.0,3.1,20,64.73266289128287,41.786,-87.752
206,1,2007-08-12,78.0,0.29,30.06,1.7,6,69.30878766702821,41.995,-87.933
207,2,2007-08-12,78.0,0.23,30.04,1.9,6,69.30878766702821,41.786,-87.752
208,1,2007-08-13,73.0,0.0,30.11,6.2,6,57.77252200165664,41.995,-87.933
209,2,2007-08-13,75.0,0.0,30.08,6.9,8,48.596994568584144,41.786,-87.752
210,1,2007-08-14,75.0,0.41,29.93,5.9,25,76.48213136554894,41.995,-87.933
211,2,2007-08-14,75.0,0.45,29.92,6.4,23,73.91894904502882,41.786,-87.752
212,1,2007-08-15,76.0,0.23,29.89,3.4,7,74.00303378143039,41.995,-87.933
213,2,2007-08-15,77.0,0.83,29.87,4.9,6,76.63599095401987,41.786,-87.752
214,1,2007-08-16,71.0,0.0,29.97,3.6,1,78.84223614958418,41.995,-87.933
215,2,2007-08-16,72.0,0.0,29.95,3.5,1,78.91317537198724,41.786,-87.752
216,1,2007-08-17,70.0,0.0,30.1,5.9,32,57.40797555322974,41.995,-87.933
217,2,2007-08-17,73.0,0.0,30.08,6.1,31,51.926795308219994,41.786,-87.752
218,1,2007-08-18,64.0,0.09,30.16,6.4,12,70.4095624730276,41.995,-87.933
219,2,2007-08-18,65.0,0.42,30.15,6.1,13,68.0321598514754,41.786,-87.752
220,1,2007-08-19,65.0,1.33,29.99,6.0,10,90.17294782424067,41.995,-87.933
221,2,2007-08-19,66.0,1.33,29.98,5.5,10,90.20851098402144,41.786,-87.752
222,1,2007-08-20,73.0,0.91,29.87,0.5,12,84.54543795782067,41.995,-87.933
223,2,2007-08-20,72.0,0.48,29.85,2.4,20,90.41796523665016,41.786,-87.752
224,1,2007-08-21,78.0,0.001,29.91,3.8,18,76.71238755576819,41.995,-87.933
225,2,2007-08-21,77.0,0.01,29.89,3.5,17,79.26283361219349,41.786,-87.752
226,1,2007-08-22,80.0,0.37,29.94,5.3,21,74.33560557551391,41.995,-87.933
227,2,2007-08-22,80.0,0.88,29.93,5.1,21,71.8811854294574,41.786,-87.752
228,1,2007-08-23,78.0,2.35,29.87,9.6,21,74.17006900798872,41.995,-87.933
229,2,2007-08-23,80.0,1.96,29.86,6.7,21,69.49897733013532,41.786,-87.752
230,1,2007-08-24,75.0,0.24,29.82,5.8,25,76.48213136554894,41.995,-87.933
231,2,2007-08-24,75.0,0.2,29.81,5.5,25,76.48213136554894,41.786,-87.752
232,1,2007-08-25,72.0,0.34,29.93,3.0,36,73.66440145458559,41.995,-87.933
233,2,2007-08-25,71.0,0.25,29.91,2.4,3,76.17008938784375,41.786,-87.752
234,1,2007-08-26,70.0,0.0,30.08,3.6,11,59.494321096299196,41.995,-87.933
235,2,2007-08-26,70.0,0.0,30.07,3.7,11,59.494321096299196,41.786,-87.752
236,1,2007-08-27,70.0,0.0,30.07,6.5,17,70.9736155751608,41.995,-87.933
237,2,2007-08-27,71.0,0.0,30.06,6.4,16,66.26881042864657,41.786,-87.752
238,1,2007-08-28,79.0,0.0,29.99,9.0,20,64.8384683331424,41.995,-87.933
239,2,2007-08-28,80.0,0.0,29.98,7.8,21,60.6559213301527,41.786,-87.752
240,1,2007-08-29,77.0,0.001,30.04,5.6,3,66.88482071159525,41.995,-87.933
241,2,2007-08-29,78.0,0.001,30.02,5.3,3,62.54694269856409,41.786,-87.752
242,1,2007-08-30,66.0,0.0,30.18,9.1,2,65.74362216511028,41.995,-87.933
243,2,2007-08-30,68.0,0.0,30.15,10.8,3,61.41880219974262,41.786,-87.752
244,1,2007-08-31,67.0,0.0,30.19,3.9,4,59.13724267136841,41.995,-87.933
245,2,2007-08-31,67.0,0.0,30.17,3.0,6,63.5403246495749,41.786,-87.752
246,1,2007-09-01,69.0,0.0,30.22,4.2,11,61.5336007954239,41.995,-87.933
247,2,2007-09-01,70.0,0.0,30.2,4.4,11,61.64795367582349,41.786,-87.752
248,1,2007-09-02,73.0,0.0,30.15,4.2,21,57.77252200165664,41.995,-87.933
249,2,2007-09-02,73.0,0.0,30.13,4.8,21,55.761950161906,41.786,-87.752
250,1,2007-09-03,77.0,0.0,30.09,2.0,27,58.25245273969209,41.995,-87.933
251,2,2007-09-03,76.0,0.0,30.07,3.0,25,60.19651424465021,41.786,-87.752
252,1,2007-09-04,76.0,0.0,30.0,2.8,22,58.13312257610199,41.995,-87.933
253,2,2007-09-04,79.0,0.0,29.99,2.2,24,50.88678002800295,41.786,-87.752
254,1,2007-09-05,78.0,0.001,29.96,6.4,19,60.42708133299304,41.995,-87.933
255,2,2007-09-05,82.0,0.0,29.94,6.4,19,51.275253740208726,41.786,-87.752
256,1,2007-09-06,78.0,0.18,29.92,11.9,20,69.30878766702821,41.995,-87.933
257,2,2007-09-06,79.0,0.08,29.91,12.8,20,64.8384683331424,41.786,-87.752
258,1,2007-09-07,77.0,0.19,29.85,10.4,23,74.08673974933997,41.995,-87.933
259,2,2007-09-07,78.0,0.67,29.84,9.5,23,69.30878766702821,41.786,-87.752
260,1,2007-09-08,71.0,0.0,30.0,6.0,5,61.76186261030958,41.995,-87.933
261,2,2007-09-08,73.0,0.0,29.98,8.4,5,59.84739703715926,41.786,-87.752
262,1,2007-09-09,72.0,0.0,30.06,9.2,3,64.08883453552477,41.995,-87.933
263,2,2007-09-09,71.0,0.0,30.03,10.1,3,66.26881042864657,41.786,-87.752
264,1,2007-09-10,64.0,0.36,30.04,7.2,2,81.14941458497641,41.995,-87.933
265,2,2007-09-10,64.0,0.25,30.01,7.4,3,84.0524237578922,41.786,-87.752
266,1,2007-09-11,61.0,0.001,29.92,11.7,29,54.23865742015972,41.995,-87.933
267,2,2007-09-11,61.0,0.001,29.91,12.1,29,54.23865742015972,41.786,-87.752
268,1,2007-09-12,57.0,0.0,30.12,1.8,3,57.917512447704404,41.995,-87.933
269,2,2007-09-12,56.0,0.0,30.11,1.9,5,62.29401882623187,41.786,-87.752
270,1,2007-09-13,64.0,0.0,29.99,8.3,19,50.73846791869315,41.995,-87.933
271,2,2007-09-13,66.0,0.0,29.98,7.1,20,43.979107434592954,41.786,-87.752
272,1,2007-09-14,56.0,0.0,30.05,12.1,32,53.58496236610815,41.995,-87.933
273,2,2007-09-14,57.0,0.0,30.04,11.7,32,53.71660816860683,41.786,-87.752
274,1,2007-09-15,50.0,0.0,30.28,1.4,33,52.78547427061255,41.995,-87.933
275,2,2007-09-15,52.0,0.0,30.28,1.1,35,53.05380924939183,41.786,-87.752
276,1,2007-09-16,58.0,0.0,30.19,6.8,18,51.85428407769079,41.995,-87.933
277,2,2007-09-16,61.0,0.0,30.2,7.7,18,43.27148944445693,41.786,-87.752
278,1,2007-09-17,66.0,0.0,30.12,11.7,17,54.88110928911176,41.995,-87.933
279,2,2007-09-17,68.0,0.0,30.12,10.6,17,49.430961276358175,41.786,-87.752
280,1,2007-09-18,76.0,0.0,30.06,12.9,19,54.19418620212778,41.995,-87.933
281,2,2007-09-18,78.0,0.0,30.05,12.5,19,48.996779775683656,41.786,-87.752
282,1,2007-09-19,75.0,0.0,30.11,5.0,26,58.01335837590782,41.995,-87.933
283,2,2007-09-19,76.0,0.0,30.09,3.5,25,56.13290899474556,41.786,-87.752
284,1,2007-09-20,69.0,0.0,30.12,5.3,7,70.8806423234427,41.995,-87.933
285,2,2007-09-20,70.0,0.0,30.1,5.6,8,68.53159313596421,41.786,-87.752
286,1,2007-09-21,76.0,0.0,29.9,10.3,21,56.13290899474556,41.995,-87.933
287,2,2007-09-21,79.0,0.0,29.89,9.8,22,50.88678002800295,41.786,-87.752
288,1,2007-09-22,63.0,0.0,30.12,2.6,3,48.75272516401799,41.995,-87.933
289,2,2007-09-22,65.0,0.0,30.1,4.3,1,49.02526643857243,41.786,-87.752
290,1,2007-09-23,67.0,0.0,30.16,4.6,13,55.008264105607346,41.995,-87.933
291,2,2007-09-23,69.0,0.0,30.15,5.9,12,51.402892673818414,41.786,-87.752
292,1,2007-09-24,79.0,0.0,29.99,11.4,19,58.48981682817403,41.995,-87.933
293,2,2007-09-24,81.0,0.0,29.98,10.0,19,52.95448056327182,41.786,-87.752
294,1,2007-09-25,74.0,0.27,29.95,7.9,23,73.83448346905953,41.995,-87.933
295,2,2007-09-25,75.0,0.01,29.93,7.3,23,73.91894904502882,41.786,-87.752
296,1,2007-09-26,61.0,0.09,30.03,4.3,1,67.62481977479092,41.995,-87.933
297,2,2007-09-26,62.0,0.14,30.02,4.8,2,67.72731274996934,41.786,-87.752
298,1,2007-09-27,62.0,0.001,29.97,4.9,24,62.98066538720754,41.995,-87.933
299,2,2007-09-27,63.0,0.001,29.97,4.5,25,60.83806138739259,41.786,-87.752
300,1,2007-09-28,63.0,0.0,30.17,2.3,4,54.496978721979026,41.995,-87.933
301,2,2007-09-28,63.0,0.0,30.16,3.1,7,54.496978721979026,41.786,-87.752
302,1,2007-09-29,65.0,0.0,30.23,9.5,17,50.8722060633609,41.995,-87.933
303,2,2007-09-29,67.0,0.0,30.23,8.4,17,45.78836468428313,41.786,-87.752
304,1,2007-09-30,71.0,0.14,30.1,14.4,19,46.34040574060819,41.995,-87.933
305,2,2007-09-30,73.0,0.14,30.1,12.9,19,41.79162269785776,41.786,-87.752
